month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,bad_client_target
1,0.006756756756756757,0.2727272727272727,0.29166666666666663,male,Secondary special education,Cell phones,0,2,0.05,Another,0,0,0
1,0.04729729729729729,0.09090909090909091,0.02777777777777779,male,Secondary special education,Household appliances,1,2,0.04,Another,3,1,0
1,0.08108108108108109,0.2727272727272727,0.06944444444444442,female,Secondary special education,Household appliances,0,2,0.075,Another,2,0,0
1,0.016891891891891893,0.2727272727272727,0.16666666666666663,male,Secondary special education,Cell phones,1,2,0.075,Unmarried,3,1,0
1,0.03209459459459459,0.2727272727272727,0.09722222222222221,female,Higher education,Cell phones,0,2,0.0625,Married,0,1,0
1,0.0929054054054054,0.6363636363636364,0.4027777777777778,female,Secondary special education,Furniture,0,2,0.0625,Married,0,1,0
1,0.010135135135135132,0.0,0.06944444444444442,male,Higher education,Computers,0,2,0.05,Another,0,1,0
1,0.05067567567567568,0.21212121212121213,0.09722222222222221,female,Higher education,Household appliances,0,0,0.08,Married,2,1,0
1,0.07094594594594594,0.09090909090909091,0.04166666666666663,female,Secondary special education,Cell phones,0,0,0.075,Another,2,1,0
1,0.033783783783783786,0.6363636363636364,0.09722222222222221,female,Secondary special education,Household appliances,1,2,0.0625,Another,3,0,0
1,0.08445945945945946,0.2727272727272727,0.19444444444444442,female,Secondary special education,Household appliances,1,2,0.0425,Another,0,1,0
1,0.08614864864864866,0.2727272727272727,0.2777777777777778,male,Secondary special education,Cell phones,1,2,0.05,Married,1,1,0
1,0.10810810810810811,0.4545454545454545,0.611111111111111,female,Secondary special education,Household appliances,1,0,0.125,Another,3,0,0
1,0.10810810810810811,0.4545454545454545,0.15277777777777773,male,Higher education,Cosmetics and beauty services,0,0,0.17500000000000002,Married,1,0,0
1,0.08277027027027026,0.2727272727272727,0.1111111111111111,male,Higher education,Household appliances,0,2,0.0375,Another,0,1,0
1,0.07939189189189189,0.2727272727272727,0.055555555555555525,female,Higher education,Household appliances,0,0,0.08750000000000001,Another,2,1,0
1,0.057432432432432436,0.21212121212121213,0.6388888888888888,male,Secondary special education,Household appliances,0,2,0.075,Married,2,1,0
1,0.02702702702702703,0.09090909090909091,0.02777777777777779,male,Higher education,Household appliances,0,2,0.045,Married,1,1,0
1,0.1554054054054054,0.09090909090909091,0.5277777777777777,male,Secondary special education,Household appliances,0,2,0.05,Another,1,1,0
